City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,aykhal,66.0,111.5,-28.6,100,99,2.39,RU,1702005172
340,yaren,-0.5472,166.916,25.93,88,100,4.7,NR,1702005174
341,san juan del sur,11.2529,-85.8705,25.78,80,2,8.7,NI,1702005174
342,salinas de hidalgo,22.6333,-101.7167,12.62,74,52,4.19,MX,1702005175
343,saint-philippe,-21.3585,55.7679,24.77,91,96,2.07,RE,1702005176
344,bayji,34.9311,43.487,15.42,58,100,1.24,IQ,1702005177
345,bac lieu,9.285,105.7244,28.63,72,96,6.37,VN,1702005060
346,moche,-8.1711,-79.0092,20.1,83,75,4.63,PE,1702005178
347,grantsville,40.5999,-112.4644,3.8,52,100,2.32,US,1702005178
348,mitu,1.1983,-70.1733,22.63,99,100,0.46,CO,1702005179
349,yatou,37.15,122.3833,15.72,49,0,8.08,CN,1702005179
350,sao mateus,-18.7161,-39.8589,22.12,95,0,1.85,BR,1702005180
351,saguenay,48.4168,-71.0657,-14.2,98,57,0.47,CA,1702005180
352,aasiaat,68.7098,-52.8699,-9.22,84,100,1.61,GL,1702005182
353,sao joao da barra,-21.6403,-41.0511,23.5,87,2,1.83,BR,1702005183
354,bangkalan,-7.0455,112.7351,30.97,57,38,1.2,ID,1702005184
355,zbarazh,49.6636,25.7762,-10.38,100,100,1.68,UA,1702005184
356,klaksvik,62.2266,-6.589,6.51,83,99,13.82,FO,1702005185
357,kingaroy,-26.5333,151.8333,33.27,29,0,5.29,AU,1702005185
358,vallenar,-28.5708,-70.7581,17.66,63,0,1.37,CL,1702005186
359,tisul',55.7611,88.3122,-22.88,97,100,2.86,RU,1702005186
360,karachi,24.9056,67.0822,12.9,58,0,0.0,PK,1702004902
